Zeit [h],Temperatur [°C],Globalstrahlung [kWh/m²],Heizwärmebedarf [kWh]
1,-2.83,0.00,0.00
2,-2.70,0.00,0.07
3,-2.58,0.00,0.41
4,-2.63,0.00,0.78
5,-2.60,0.00,1.14
6,-2.50,0.00,1.41
7,-2.58,0.00,18.76
8,-2.63,0.00,17.48
9,-2.70,0.00,0.42
10,-2.63,0.00,1.04
11,-2.40,0.00,1.53
12,-2.15,0.01,1.87
13,-2.03,0.01,2.25
14,-1.90,0.01,2.51
15,-1.85,0.03,2.86
16,-1.67,0.02,3.19
17,-1.42,0.01,20.53
18,-1.55,0.00,19.18
19,-1.60,0.00,18.35
20,-1.78,0.00,17.84
21,-1.90,0.00,17.49
22,-1.90,0.00,17.17
23,-1.80,0.00,0.51
24,-1.70,0.00,1.32
25,-1.65,0.00,2.07
26,-1.23,0.00,2.59
27,-0.80,0.00,2.91
28,-0.47,0.00,3.20
29,-0.48,0.00,3.57
30,-0.27,0.00,3.84
31,-0.05,0.00,21.15
32,0.00,0.00,19.71
33,0.08,0.00,1.79
34,0.37,0.00,2.68
35,0.57,0.00,3.20
36,1.02,0.03,3.50
37,1.50,0.03,3.67
38,1.93,0.02,3.84
39,1.85,0.02,4.03
40,1.15,0.02,4.57
41,0.15,0.02,22.38
42,-0.82,0.00,21.33
43,-0.90,0.00,20.49
44,-1.58,0.00,20.08
45,-2.30,0.00,19.93
46,-1.87,0.00,19.47
47,-1.58,0.00,1.98
48,-0.87,0.00,2.96
49,-1.58,0.00,4.06
50,-1.00,0.00,4.58
51,-0.65,0.00,4.85
52,-0.22,0.00,5.00
53,0.07,0.00,5.22
54,0.33,0.00,5.41
55,0.63,0.00,22.62
56,0.70,0.00,21.13
57,0.93,0.00,3.00
58,1.33,0.00,3.90
59,1.95,0.00,4.31
60,1.87,0.01,4.67
61,1.68,0.02,5.03
62,1.47,0.03,5.34
63,1.03,0.03,5.66
64,0.70,0.04,6.11
65,0.70,0.02,23.50
66,0.60,0.00,22.07
67,0.67,0.00,21.07
68,0.67,0.00,20.39
69,0.53,0.00,19.93
70,0.47,0.00,19.53
71,0.40,0.00,2.16
72,0.42,0.00,3.45
73,0.38,0.00,4.33
74,0.80,0.00,4.76
75,1.28,0.00,4.96
76,1.42,0.00,5.24
77,1.60,0.00,5.46
78,1.87,0.00,5.60
79,2.13,0.00,22.81
80,2.28,0.00,21.26
81,2.40,0.00,3.15
82,2.82,0.00,2.90
83,3.00,0.04,2.66
84,3.12,0.06,2.97
85,3.57,0.09,3.17
86,4.33,0.11,2.56
87,3.65,0.11,3.11
88,2.83,0.09,3.53
89,2.52,0.05,22.05
90,2.05,0.02,21.05
91,1.80,0.00,20.29
92,1.73,0.00,19.82
93,2.47,0.00,18.96
94,1.92,0.00,18.75
95,1.08,0.00,1.70
96,-0.02,0.00,3.46
97,-0.52,0.00,4.52
98,-0.52,0.00,5.12
99,-1.03,0.00,5.72
100,-1.33,0.00,6.25
101,-1.47,0.00,6.51
102,-0.77,0.00,6.68
103,-0.38,0.00,23.77
104,-0.35,0.00,22.21
105,-0.07,0.00,4.12
106,1.25,0.00,4.53
107,2.38,0.04,4.40
108,2.22,0.06,4.70
109,1.82,0.09,5.07
110,1.57,0.09,5.66
111,1.57,0.04,5.68
112,0.50,0.07,6.46
113,-0.77,0.03,24.35
114,-1.93,0.01,23.44
115,-2.97,0.00,22.85
116,-3.62,0.00,22.63
117,-3.63,0.00,22.11
118,-4.27,0.00,21.89
119,-5.82,0.00,5.01
120,-6.70,0.00,6.77
121,-6.60,0.00,7.70
122,-7.35,0.00,8.58
123,-7.80,0.00,9.18
124,-8.00,0.00,9.65
125,-8.05,0.00,9.95
126,-8.62,0.00,10.52
127,-8.55,0.00,27.82
128,-8.95,0.00,26.51
129,-7.67,0.00,8.10
130,-6.05,0.00,8.36
131,-4.27,0.02,7.69
132,-2.98,0.08,7.61
133,-1.78,0.09,7.28
134,-1.55,0.11,7.11
135,-1.25,0.12,6.18
136,-2.82,0.09,7.92
137,-4.77,0.05,26.41
138,-5.93,0.01,25.60
139,-7.02,0.00,25.11
140,-7.95,0.00,24.99
141,-8.43,0.00,24.70
142,-8.80,0.00,24.42
143,-9.35,0.00,7.25
144,-9.38,0.00,8.65
145,-8.57,0.00,9.28
146,-7.92,0.00,9.54
147,-7.98,0.00,9.91
148,-8.23,0.00,10.43
149,-8.25,0.00,10.74
150,-7.48,0.00,10.73
151,-7.05,0.00,27.88
152,-6.60,0.00,26.21
153,-6.00,0.00,7.92
154,-5.27,0.00,8.10
155,-4.48,0.04,8.38
156,-3.75,0.08,8.58
157,-3.07,0.07,8.17
158,-3.53,0.13,8.68
159,-3.18,0.11,7.97
160,-2.95,0.10,8.90
161,-3.20,0.04,26.54
162,-3.18,0.00,25.17
163,-2.78,0.00,24.07
164,-2.57,0.00,23.30
165,-2.43,0.00,22.74
166,-2.32,0.00,22.25
167,-2.20,0.00,4.71
168,-2.13,0.00,6.04
169,-1.95,0.00,6.82
170,-1.83,0.00,7.32
171,-1.72,0.00,7.67
172,-1.52,0.00,7.92
173,-1.33,0.00,8.11
174,-1.17,0.00,8.28
175,-1.00,0.00,25.52
176,-0.83,0.00,23.96
177,-0.48,0.00,5.73
178,0.00,0.00,6.53
179,0.45,0.01,6.99
180,1.33,0.00,6.84
181,1.87,0.05,6.57
182,2.18,0.10,6.84
183,2.40,0.04,6.91
184,2.22,0.04,7.18
185,1.28,0.03,24.90
186,1.17,0.01,23.48
187,0.93,0.00,22.62
188,1.22,0.00,21.82
189,1.23,0.00,21.22
190,1.08,0.00,20.82
191,1.00,0.00,3.36
192,0.97,0.00,4.70
193,0.85,0.00,5.57
194,0.80,0.00,6.13
195,0.80,0.00,6.52
196,0.78,0.00,6.83
197,0.63,0.00,7.13
198,0.65,0.00,7.37
199,0.93,0.00,24.59
200,1.17,0.00,22.98
201,1.65,0.00,4.66
202,1.75,0.00,4.46
203,2.20,0.05,5.46
204,2.70,0.06,4.84
205,3.32,0.11,4.32
206,2.88,0.11,4.36
207,3.05,0.08,4.16
208,3.00,0.09,4.81
209,2.77,0.06,23.04
210,2.60,0.02,21.90
211,2.60,0.00,21.03
212,2.48,0.00,20.44
213,2.12,0.00,20.07
214,2.10,0.00,19.68
215,2.02,0.00,2.30
216,1.73,0.00,3.65
217,1.42,0.00,4.63
218,1.20,0.00,5.26
219,1.02,0.00,5.76
220,1.07,0.00,6.08
221,1.25,0.00,6.26
222,1.45,0.00,6.43
223,1.57,0.00,23.67
224,1.23,0.00,22.28
225,1.17,0.00,4.25
226,1.52,0.00,4.52
227,2.20,0.04,4.77
228,2.73,0.09,4.98
229,3.68,0.10,4.78
230,4.55,0.11,4.32
231,4.90,0.13,4.35
232,2.57,0.10,5.71
233,1.43,0.03,23.86
234,1.43,0.01,22.44
235,0.62,0.00,21.75
236,1.02,0.00,21.02
237,0.92,0.00,20.48
238,0.80,0.00,20.12
239,0.93,0.00,2.59
240,1.22,0.00,3.80
241,1.62,0.00,4.51
242,1.95,0.00,4.89
243,2.32,0.00,5.13
244,2.40,0.00,5.41
245,2.43,0.00,5.67
246,2.70,0.00,5.81
247,2.87,0.00,23.05
248,3.45,0.00,21.33
249,4.05,0.00,3.01
250,4.20,0.00,3.87
251,4.22,0.01,4.32
252,4.37,0.04,4.53
253,4.90,0.07,4.07
254,5.37,0.13,4.12
255,5.83,0.12,3.98
256,6.23,0.10,3.72
257,6.72,0.06,20.96
258,6.55,0.03,19.94
259,5.62,0.00,19.39
260,5.38,0.00,19.02
261,6.55,0.00,17.94
262,6.12,0.00,17.62
263,5.45,0.00,0.74
264,4.03,0.00,2.18
265,3.73,0.00,3.37
266,4.10,0.00,3.71
267,3.65,0.00,4.26
268,3.52,0.00,4.67
269,3.32,0.00,5.01
270,3.50,0.00,5.20
271,3.68,0.00,22.44
272,4.12,0.00,20.74
273,4.53,0.00,2.54
274,5.07,0.00,2.64
275,5.28,0.05,2.59
276,5.28,0.09,3.25
277,5.40,0.11,3.82
278,5.38,0.04,3.65
279,5.35,0.12,3.49
280,5.28,0.10,3.08
281,5.13,0.07,21.15
282,4.83,0.03,20.20
283,4.78,0.00,19.39
284,5.10,0.00,18.67
285,5.48,0.00,18.02
286,5.95,0.00,17.42
287,6.88,0.00,0.20
288,6.00,0.00,1.05
289,3.78,0.00,2.80
290,2.65,0.00,3.87
291,2.08,0.00,4.57
292,2.22,0.00,4.88
293,2.22,0.00,5.12
294,2.03,0.00,5.47
295,2.07,0.00,22.79
296,2.18,0.00,21.23
297,2.22,0.00,3.15
298,2.25,0.00,3.87
299,2.63,0.04,4.23
300,2.90,0.07,3.84
301,2.98,0.12,4.13
302,3.15,0.13,4.94
303,2.85,0.01,4.96
304,2.18,0.07,5.55
305,1.52,0.05,23.29
306,1.85,0.01,21.80
307,1.85,0.00,20.81
308,1.40,0.00,20.25
309,0.77,0.00,20.08
310,1.35,0.00,19.43
311,1.45,0.00,1.96
312,2.67,0.00,2.84
313,3.25,0.00,3.32
314,2.90,0.00,4.01
315,2.93,0.00,4.43
316,2.60,0.00,4.86
317,2.38,0.00,5.25
318,1.80,0.00,5.70
319,1.95,0.00,23.01
320,1.88,0.00,21.54
321,2.17,0.00,3.37
322,2.60,0.00,2.47
323,2.68,0.04,2.24
324,2.85,0.05,2.35
325,2.98,0.06,2.61
326,2.98,0.06,2.71
327,2.93,0.10,2.89
328,2.60,0.08,3.37
329,2.12,0.06,21.69
330,1.25,0.03,21.10
331,1.65,0.00,20.22
332,0.87,0.00,19.92
333,0.48,0.00,19.62
334,0.55,0.00,19.27
335,0.55,0.00,1.92
336,0.92,0.00,3.04
337,0.75,0.00,3.90
338,-0.33,0.00,4.93
339,-0.68,0.00,5.56
340,-0.75,0.00,5.97
341,-0.63,0.00,6.13
342,-0.57,0.00,6.46
343,-0.37,0.00,23.69
344,-0.83,0.00,22.37
345,-0.45,0.00,4.31
346,1.67,0.00,4.25
347,2.45,0.04,4.38
348,2.70,0.07,4.26
349,2.73,0.12,4.74
350,2.88,0.07,4.83
351,2.78,0.09,5.10
352,2.52,0.08,5.69
353,1.90,0.01,23.28
354,1.12,0.01,22.08
355,0.88,0.00,21.39
356,1.33,0.00,20.45
357,-0.45,0.00,20.52
358,-1.68,0.00,20.73
359,-1.08,0.00,3.10
360,-1.13,0.00,4.43
361,-1.62,0.00,5.47
362,-2.30,0.00,6.28
363,-2.68,0.00,6.93
364,-3.05,0.00,7.43
365,-2.53,0.00,7.52
366,-2.55,0.00,7.78
367,-2.93,0.00,25.25
368,-2.88,0.00,23.81
369,-2.47,0.00,5.57
370,-2.03,0.00,6.27
371,-1.27,0.04,6.42
372,-0.12,0.07,6.36
373,0.72,0.06,6.46
374,1.43,0.02,6.19
375,1.28,0.06,6.45
376,0.52,0.05,6.93
377,-0.83,0.04,24.88
378,-1.80,0.01,23.85
379,-2.85,0.00,23.34
380,-3.52,0.00,22.99
381,-4.40,0.00,22.82
382,-5.00,0.00,22.61
383,-5.67,0.00,5.53
384,-5.55,0.00,6.84
385,-5.78,0.00,7.77
386,-5.53,0.00,8.32
387,-4.57,0.00,8.34
388,-4.32,0.00,8.51
389,-4.97,0.00,9.06
390,-4.55,0.00,9.20
391,-4.03,0.00,26.31
392,-3.93,0.00,24.77
393,-3.48,0.00,6.54
394,-2.58,0.00,7.16
395,-1.68,0.02,7.35
396,-1.23,0.03,7.41
397,-0.65,0.05,7.59
398,-0.28,0.02,7.66
399,-0.57,0.02,8.03
400,-1.07,0.01,8.36
401,-1.73,0.01,25.98
402,-2.28,0.01,24.71
403,-2.78,0.00,23.93
404,-3.32,0.00,23.46
405,-3.82,0.00,23.15
406,-4.12,0.00,22.85
407,-4.40,0.00,5.49
408,-4.65,0.00,6.94
409,-4.72,0.00,7.84
410,-4.95,0.00,8.48
411,-5.07,0.00,8.95
412,-4.92,0.00,9.24
413,-4.75,0.00,9.46
414,-4.88,0.00,9.73
415,-5.10,0.00,27.15
416,-5.25,0.00,25.74
417,-4.87,0.00,7.55
418,-3.90,0.00,8.14
419,-2.87,0.02,8.26
420,-2.07,0.03,7.98
421,-1.57,0.10,7.84
422,-1.28,0.12,8.05
423,-1.17,0.08,8.29
424,-1.70,0.04,8.79
425,-2.18,0.03,26.35
426,-2.82,0.01,25.18
427,-3.20,0.00,24.34
428,-3.58,0.00,23.86
429,-3.82,0.00,23.41
430,-4.07,0.00,23.08
431,-4.28,0.00,5.69
432,-4.37,0.00,7.08
433,-4.55,0.00,8.00
434,-4.65,0.00,8.59
435,-4.88,0.00,9.09
436,-5.07,0.00,9.50
437,-5.22,0.00,9.85
438,-5.38,0.00,10.16
439,-5.47,0.00,27.52
440,-5.60,0.00,26.09
441,-5.00,0.00,7.83
442,-3.87,0.00,7.99
443,-2.27,0.05,7.48
444,-0.97,0.10,7.40
445,0.02,0.11,7.28
446,0.58,0.10,6.89
447,0.57,0.14,6.97
448,0.03,0.12,7.33
449,-0.88,0.08,25.49
450,-1.62,0.02,24.49
451,-1.98,0.00,23.72
452,-2.35,0.00,23.23
453,-3.23,0.00,23.04
454,-4.05,0.00,22.96
455,-4.08,0.00,5.55
456,-3.80,0.00,6.81
457,-4.23,0.00,7.75
458,-5.10,0.00,8.67
459,-5.62,0.00,9.32
460,-5.68,0.00,9.69
461,-6.07,0.00,10.13
462,-6.22,0.00,10.47
463,-6.63,0.00,27.92
464,-6.55,0.00,26.49
465,-4.92,0.00,7.80
466,-3.17,0.00,7.65
467,-1.20,0.05,6.74
468,0.58,0.10,6.32
469,1.83,0.13,6.35
470,2.63,0.10,6.41
471,2.57,0.06,6.83
472,1.75,0.02,7.33
473,0.55,0.02,24.28
474,-0.63,0.04,23.97
475,-1.65,0.00,23.45
476,-2.90,0.00,23.34
477,-4.55,0.00,23.48
478,-5.67,0.00,23.58
479,-6.18,0.00,6.38
480,-6.72,0.00,7.92
481,-6.57,0.00,8.75
482,-7.40,0.00,9.68
483,-7.77,0.00,10.16
484,-8.47,0.00,10.84
485,-8.92,0.00,11.39
486,-9.27,0.00,11.69
487,-8.47,0.00,28.83
488,-9.53,0.00,27.69
489,-7.12,0.00,8.87
490,-4.30,0.00,6.81
491,-1.75,0.04,5.53
492,0.15,0.05,5.03
493,1.68,0.08,4.64
494,2.70,0.07,4.17
495,3.15,0.07,4.02
496,1.28,0.08,4.62
497,-1.17,0.06,24.40
498,-3.28,0.02,24.30
499,-4.42,0.00,24.02
500,-4.68,0.00,23.59
501,-5.57,0.00,23.45
502,-6.30,0.00,23.45
503,-7.40,0.00,6.36
504,-8.12,0.00,8.08
505,-8.70,0.00,9.23
506,-9.25,0.00,10.06
507,-9.48,0.00,10.65
508,-9.93,0.00,11.07
509,-10.12,0.00,11.52
510,-10.15,0.00,11.84
511,-9.95,0.00,29.12
512,-9.53,0.00,27.49
513,-8.25,0.00,8.92
514,-6.52,0.01,9.22
515,-4.62,0.03,8.60
516,-2.40,0.09,7.22
517,-0.75,0.14,6.41
518,0.47,0.12,5.50
519,0.73,0.07,5.23
520,-0.13,0.10,5.95
521,-2.65,0.07,24.53
522,-4.23,0.03,24.71
523,-5.08,0.00,24.44
524,-6.12,0.00,24.28
525,-6.43,0.00,23.97
526,-7.47,0.00,23.96
527,-8.47,0.00,7.04
528,-9.22,0.00,8.75
529,-9.53,0.00,9.70
530,-9.87,0.00,10.48
531,-9.75,0.00,10.89
532,-10.23,0.00,11.48
533,-9.88,0.00,11.61
534,-9.90,0.00,11.92
535,-10.08,0.00,29.31
536,-9.58,0.00,27.67
537,-8.70,0.00,9.26
538,-7.10,0.01,9.67
539,-6.18,0.01,8.98
540,-4.78,0.10,8.86
541,-3.50,0.13,8.06
542,-1.92,0.16,7.72
543,-0.73,0.15,7.15
544,-0.98,0.13,7.47
545,-2.70,0.09,26.07
546,-4.05,0.02,25.44
547,-3.25,0.00,24.34
548,-2.63,0.00,23.42
549,-2.32,0.00,22.76
550,-2.23,0.00,22.30
551,-2.15,0.00,4.79
552,-2.02,0.00,6.09
553,-1.92,0.00,6.90
554,-1.80,0.00,7.41
555,-1.63,0.00,7.74
556,-1.58,0.00,8.03
557,-1.55,0.00,8.30
558,-1.53,0.00,8.52
559,-1.57,0.00,25.86
560,-1.38,0.00,24.29
561,-1.28,0.00,6.12
562,-0.87,0.01,6.80
563,-0.27,0.05,6.93
564,0.23,0.09,6.98
565,0.63,0.10,6.76
566,0.73,0.14,7.03
567,0.95,0.11,6.81
568,0.85,0.12,7.41
569,0.63,0.06,25.01
570,0.55,0.02,23.65
571,0.18,0.00,22.83
572,-0.28,0.00,22.34
573,-0.58,0.00,21.95
574,-0.70,0.00,21.57
575,-0.73,0.00,4.08
576,-0.90,0.00,5.49
577,-1.18,0.00,6.43
578,-1.38,0.00,7.06
579,-1.80,0.00,7.63
580,-2.35,0.00,8.14
581,-2.85,0.00,8.66
582,-3.23,0.00,9.06
583,-3.47,0.00,26.48
584,-3.65,0.00,25.07
585,-3.58,0.00,6.95
586,-3.22,0.01,7.80
587,-2.65,0.01,7.99
588,-2.25,0.06,8.30
589,-1.97,0.03,7.27
590,-1.85,0.18,7.33
591,-1.88,0.15,8.02
592,-2.05,0.09,7.72
593,-2.23,0.08,25.21
594,-2.32,0.03,24.43
595,-2.42,0.00,23.61
596,-2.68,0.00,23.11
597,-2.60,0.00,22.62
598,-2.78,0.00,22.24
599,-3.08,0.00,4.90
600,-3.00,0.00,6.25
601,-3.05,0.00,7.11
602,-3.00,0.00,7.65
603,-2.88,0.00,8.01
604,-2.88,0.00,8.34
605,-2.77,0.00,8.57
606,-2.70,0.00,8.78
607,-2.58,0.00,26.07
608,-2.45,0.00,24.51
609,-2.13,0.00,6.29
610,-1.62,0.01,6.95
611,-0.93,0.04,7.11
612,0.10,0.07,7.05
613,0.97,0.07,6.45
614,1.58,0.15,6.68
615,0.92,0.08,7.26
616,-0.35,0.03,7.87
617,-1.58,0.06,25.81
618,-2.98,0.02,25.00
619,-4.17,0.00,24.51
620,-5.42,0.00,24.41
621,-5.95,0.00,24.14
622,-6.53,0.00,23.87
623,-7.00,0.00,6.74
624,-7.62,0.00,8.29
625,-8.08,0.00,9.38
626,-7.63,0.00,9.77
627,-8.03,0.00,10.27
628,-8.05,0.00,10.66
629,-8.33,0.00,11.13
630,-8.28,0.00,11.28
631,-8.58,0.00,28.83
632,-7.43,0.00,26.90
633,-6.05,0.00,8.28
634,-4.48,0.01,8.51
635,-3.00,0.04,8.33
636,-1.65,0.07,8.21
637,-0.10,0.05,7.99
638,0.63,0.01,7.41
639,1.20,0.12,6.48
640,1.28,0.12,5.92
641,0.95,0.07,24.02
642,-0.05,0.04,23.49
643,-1.50,0.00,23.39
644,-1.83,0.00,22.87
645,-1.73,0.00,22.50
646,-1.68,0.00,21.95
647,-2.32,0.00,4.74
648,-3.20,0.00,6.41
649,-3.80,0.00,7.56
650,-4.48,0.00,8.40
651,-5.67,0.00,9.28
652,-5.43,0.00,9.60
653,-4.88,0.00,9.67
654,-4.80,0.00,9.84
655,-4.55,0.00,27.09
656,-4.37,0.00,25.49
657,-3.32,0.00,7.08
658,-1.88,0.01,6.86
659,-0.90,0.07,6.38
660,-0.02,0.11,5.26
661,0.73,0.12,5.24
662,1.37,0.14,5.94
663,1.78,0.14,5.57
664,1.87,0.13,5.87
665,1.65,0.09,23.95
666,1.03,0.02,22.92
667,0.33,0.00,22.35
668,-1.32,0.00,22.28
669,-1.58,0.00,22.07
670,-0.35,0.00,21.19
671,0.25,0.00,3.39
672,0.35,0.00,4.67
673,0.37,0.00,5.52
674,0.50,0.00,6.02
675,0.73,0.00,6.31
676,0.77,0.00,6.61
677,0.90,0.00,6.84
678,1.00,0.00,7.01
679,1.05,0.00,24.32
680,1.60,0.00,22.66
681,3.83,0.00,3.65
682,4.27,0.01,4.18
683,4.73,0.05,4.54
684,5.53,0.06,4.65
685,6.08,0.04,4.35
686,6.40,0.11,4.35
687,6.93,0.10,4.44
688,6.67,0.07,4.74
689,5.13,0.04,22.59
690,2.42,0.02,22.32
691,0.00,0.00,22.26
692,-0.63,0.00,22.07
693,-1.37,0.00,21.81
694,-1.03,0.00,21.29
695,-1.00,0.00,3.74
696,-1.05,0.00,5.13
697,-0.72,0.00,5.84
698,-0.18,0.00,6.20
699,0.48,0.00,6.27
700,0.88,0.00,6.48
701,3.70,0.00,5.69
702,4.40,0.00,5.49
703,4.58,0.00,22.66
704,4.73,0.00,21.09
705,4.83,0.00,2.95
706,5.17,0.01,3.73
707,5.63,0.03,4.00
708,5.95,0.06,3.92
709,5.85,0.11,4.01
710,6.28,0.14,3.87
711,6.30,0.15,4.16
712,6.40,0.11,4.31
713,6.35,0.09,21.60
714,6.42,0.04,20.42
715,6.37,0.00,19.49
716,6.42,0.00,18.80
717,6.47,0.00,18.26
718,6.58,0.00,17.73
719,6.20,0.00,0.67
720,5.53,0.00,1.97
721,5.57,0.00,2.79
722,5.38,0.00,3.36
723,4.63,0.00,4.08
724,4.32,0.00,4.51
725,4.03,0.00,4.90
726,3.57,0.00,5.30
727,3.08,0.00,22.81
728,2.95,0.00,21.38
729,3.20,0.00,3.17
730,3.82,0.01,3.66
731,4.03,0.06,3.58
732,4.98,0.12,3.31
733,5.60,0.16,3.00
734,5.42,0.17,3.70
735,5.33,0.11,3.91
736,4.43,0.11,4.62
737,3.07,0.06,22.07
738,2.05,0.04,21.66
739,2.48,0.00,20.59
740,2.22,0.00,20.04
741,2.02,0.00,19.63
742,1.92,0.00,19.23
743,1.72,0.00,1.88
744,0.62,0.00,3.62
745,1.12,0.00,4.35
746,1.60,0.00,4.67
747,1.63,0.00,5.03
748,1.55,0.00,5.40
749,1.38,0.00,5.74
750,1.47,0.00,5.97
751,1.50,0.00,23.26
752,1.37,0.00,21.83
753,1.53,0.00,3.67
754,1.75,0.00,3.91
755,1.88,0.07,4.57
756,2.48,0.10,4.53
757,3.18,0.13,3.92
758,3.72,0.17,4.31
759,4.07,0.12,4.39
760,4.23,0.11,4.66
761,4.08,0.08,21.92
762,4.17,0.04,20.81
763,4.13,0.00,19.86
764,4.08,0.00,19.24
765,3.42,0.00,18.99
766,3.37,0.00,18.61
767,3.25,0.00,1.34
768,3.07,0.00,2.60
769,3.00,0.00,3.45
770,2.70,0.00,4.13
771,1.80,0.00,4.88
772,1.85,0.00,5.28
773,2.22,0.00,5.39
774,2.55,0.00,5.49
775,2.27,0.00,22.87
776,1.58,0.00,21.64
777,2.52,0.00,3.37
778,3.62,0.00,3.80
779,4.62,0.02,3.88
780,6.07,0.04,3.33
781,7.78,0.12,2.27
782,9.20,0.18,1.84
783,10.02,0.17,1.61
784,9.73,0.15,2.16
785,7.90,0.08,20.45
786,6.52,0.02,19.69
787,5.30,0.00,19.24
788,4.45,0.00,18.97
789,4.10,0.00,18.67
790,3.73,0.00,18.37
791,2.83,0.00,1.41
792,3.15,0.00,2.50
793,3.73,0.00,3.10
794,4.20,0.00,3.46
795,4.57,0.00,3.71
796,5.15,0.00,3.80
797,6.38,0.00,3.74
798,8.40,0.00,2.92
799,8.13,0.00,20.32
800,8.05,0.00,18.85
801,8.40,0.00,0.67
802,9.12,0.02,0.91
803,9.28,0.07,0.94
804,10.13,0.12,0.30
805,9.50,0.16,0.87
806,9.65,0.17,0.66
807,9.45,0.16,0.83
808,9.68,0.16,1.05
809,6.98,0.11,19.26
810,3.75,0.05,19.81
811,3.37,0.00,19.42
812,7.30,0.00,17.50
813,8.73,0.00,16.06
814,8.67,0.00,15.63
815,8.47,0.00,0.02
816,7.78,0.00,0.31
817,7.57,0.00,0.85
818,7.47,0.00,1.33
819,7.32,0.00,1.76
820,6.00,0.00,2.60
821,5.07,0.00,3.16
822,3.38,0.00,4.28
823,2.90,0.00,21.82
824,3.58,0.00,20.07
825,4.02,0.00,1.81
826,5.70,0.02,1.28
827,6.78,0.07,0.41
828,5.98,0.09,0.73
829,6.17,0.13,1.23
830,7.28,0.18,1.00
831,7.08,0.19,1.27
832,7.13,0.16,1.25
833,6.68,0.10,18.12
834,5.97,0.06,18.24
835,5.78,0.00,17.63
836,6.05,0.00,17.04
837,6.35,0.00,16.45
838,5.85,0.00,16.23
839,5.57,0.00,0.12
840,5.55,0.00,0.58
841,5.50,0.00,1.19
842,4.90,0.00,1.93
843,3.40,0.00,2.84
844,2.23,0.00,3.91
845,1.43,0.00,4.39
846,0.78,0.00,5.07
847,0.87,0.00,22.41
848,1.23,0.00,20.77
849,2.25,0.00,2.31
850,3.40,0.02,1.42
851,4.32,0.07,1.49
852,5.43,0.13,1.80
853,6.33,0.15,1.54
854,6.70,0.18,1.82
855,6.10,0.13,2.45
856,6.07,0.10,2.36
857,5.83,0.11,20.18
858,5.55,0.05,19.10
859,5.13,0.00,18.40
860,5.00,0.00,17.85
861,4.87,0.00,17.41
862,4.77,0.00,17.04
863,4.65,0.00,0.32
864,4.57,0.00,1.00
865,4.58,0.00,1.86
866,4.57,0.00,2.45
867,4.43,0.00,2.94
868,4.45,0.00,3.26
869,4.12,0.00,3.68
870,3.80,0.00,4.10
871,3.87,0.00,21.39
872,3.78,0.00,19.97
873,4.48,0.00,1.68
874,5.13,0.02,1.95
875,5.42,0.08,2.20
876,6.02,0.12,1.95
877,6.47,0.16,2.47
878,6.98,0.08,2.64
879,7.72,0.06,2.49
880,7.30,0.08,2.57
881,5.30,0.10,20.78
882,3.22,0.04,20.42
883,2.45,0.00,19.96
884,2.47,0.00,19.25
885,2.43,0.00,18.74
886,1.73,0.00,18.64
887,1.83,0.00,1.37
888,2.08,0.00,2.37
889,2.17,0.00,3.25
890,2.37,0.00,3.73
891,2.65,0.00,4.04
892,2.90,0.00,4.27
893,2.87,0.00,4.56
894,2.78,0.00,4.84
895,2.90,0.00,22.16
896,3.27,0.00,20.51
897,3.75,0.00,2.21
898,4.25,0.02,2.72
899,4.88,0.07,3.02
900,5.47,0.08,1.70
901,5.85,0.14,1.85
902,6.15,0.18,1.40
903,6.22,0.14,2.04
904,5.83,0.15,2.24
905,5.20,0.11,20.39
906,4.80,0.05,19.60
907,4.77,0.00,18.80
908,4.55,0.00,18.25
909,4.18,0.00,17.93
910,4.02,0.00,17.62
911,4.07,0.00,0.55
912,4.13,0.00,1.45
913,4.15,0.00,2.32
914,4.02,0.00,2.93
915,3.92,0.00,3.40
916,3.82,0.00,3.78
917,3.70,0.00,4.11
918,3.45,0.00,4.45
919,3.23,0.00,21.89
920,3.10,0.00,20.45
921,3.28,0.00,2.32
922,3.85,0.02,2.85
923,4.37,0.06,3.26
924,4.90,0.06,3.09
925,5.17,0.12,2.90
926,5.35,0.17,2.45
927,5.65,0.19,2.56
928,5.77,0.16,2.01
929,5.33,0.11,20.59
930,4.90,0.04,19.65
931,4.48,0.00,18.95
932,4.03,0.00,18.56
933,3.58,0.00,18.23
934,3.17,0.00,18.00
935,2.40,0.00,1.11
936,2.50,0.00,2.22
937,2.35,0.00,3.11
938,1.62,0.00,3.97
939,1.02,0.00,4.66
940,0.58,0.00,5.17
941,0.25,0.00,5.64
942,0.15,0.00,5.94
943,-0.08,0.00,23.37
944,-0.15,0.00,21.94
945,0.08,0.00,2.88
946,0.55,0.03,2.32
947,1.42,0.06,1.85
948,2.35,0.07,1.86
949,3.03,0.08,1.99
950,3.65,0.07,1.85
951,3.50,0.14,2.16
952,3.22,0.16,1.85
953,2.55,0.10,20.19
954,2.03,0.07,19.87
955,1.93,0.01,19.36
956,1.67,0.00,18.95
957,1.33,0.00,18.69
958,1.07,0.00,18.45
959,0.90,0.00,1.30
960,0.80,0.00,2.53
961,0.68,0.00,3.47
962,0.58,0.00,4.12
963,0.52,0.00,4.58
964,0.42,0.00,4.98
965,0.32,0.00,5.34
966,0.30,0.00,5.63
967,0.33,0.00,22.96
